"muniYear","muni","year","tomas_dom_agua","tomas_elec","sist_dren"
"11038_1994","11038",1994,NA,2723,NA
"11039_1994","11039",1994,3209,8416,NA
"11040_1994","11040",1994,NA,2857,NA
"11041_1994","11041",1994,9387,10183,NA
"11042_1994","11042",1994,12306,29038,NA
"11043_1994","11043",1994,NA,3989,NA
"11044_1994","11044",1994,4347,8438,NA
"11045_1994","11045",1994,NA,2530,NA
"11046_1994","11046",1994,6327,16838,NA
"12001_1994","12001",1994,96351,127753,1
"12002_1994","12002",1994,NA,2715,1
"12003_1994","12003",1994,298,4836,NA
"12004_1994","12004",1994,NA,682,1
"12005_1994","12005",1994,NA,842,1
"12006_1994","12006",1994,NA,2601,NA
"12007_1994","12007",1994,2916,7113,1
"12008_1994","12008",1994,NA,1442,NA
"12009_1994","12009",1994,NA,NA,NA
"12010_1994","12010",1994,NA,1890,NA
"12011_1994","12011",1994,4205,9912,1
"12012_1994","12012",1994,1348,5917,1
"12013_1994","12013",1994,371,4562,NA
"12014_1994","12014",1994,NA,3576,1
"12015_1994","12015",1994,1207,3276,1
"12016_1994","12016",1994,NA,NA,1
"12017_1994","12017",1994,NA,3890,NA
"12018_1994","12018",1994,NA,1400,1
"12019_1994","12019",1994,NA,1467,NA
"12020_1994","12020",1994,NA,1643,NA
"12021_1994","12021",1994,2530,11905,1
"12022_1994","12022",1994,1383,7636,1
"12023_1994","12023",1994,1375,3500,1
"12024_1994","12024",1994,NA,1006,1
"12025_1994","12025",1994,NA,1812,1
"12026_1994","12026",1994,NA,2478,NA
"12027_1994","12027",1994,1051,4863,1
"12028_1994","12028",1994,3297,17090,1
"12029_1994","12029",1994,21780,37255,1
"12030_1994","12030",1994,NA,1394,1
"12031_1994","12031",1994,NA,1194,1
"12032_1994","12032",1994,886,2099,1
"12033_1994","12033",1994,NA,2541,NA
"12034_1994","12034",1994,3182,NA,1
"12035_1994","12035",1994,16262,33102,1
"12036_1994","12036",1994,NA,1112,NA
"12037_1994","12037",1994,NA,NA,NA
"12038_1994","12038",1994,10036,16806,1
"12039_1994","12039",1994,NA,4607,1
"12040_1994","12040",1994,NA,4081,1
"12041_1994","12041",1994,NA,1769,NA
"12042_1994","12042",1994,NA,2540,NA
"12043_1994","12043",1994,NA,1439,NA
"12044_1994","12044",1994,NA,2238,1
"12045_1994","12045",1994,NA,2917,1
"12046_1994","12046",1994,2130,7316,1
"12047_1994","12047",1994,NA,305,1
"12048_1994","12048",1994,4176,8927,1
"12049_1994","12049",1994,NA,1976,NA
"12050_1994","12050",1994,2842,7319,1
"12051_1994","12051",1994,700,4024,1
"12052_1994","12052",1994,772,4209,1
"12053_1994","12053",1994,1688,9226,1
"12054_1994","12054",1994,379,1522,NA
"12055_1994","12055",1994,8184,19317,1
"12056_1994","12056",1994,528,5636,1
"12057_1994","12057",1994,3226,13264,1
"12058_1994","12058",1994,3500,12464,1
"12059_1994","12059",1994,623,NA,1
"12060_1994","12060",1994,NA,1983,NA
"12061_1994","12061",1994,4057,7312,1
"12062_1994","12062",1994,NA,539,NA
"12063_1994","12063",1994,NA,209,NA
"12064_1994","12064",1994,NA,1860,NA
"12065_1994","12065",1994,NA,NA,NA
"12066_1994","12066",1994,3356,13431,1
"12067_1994","12067",1994,NA,4503,1
"12068_1994","12068",1994,342,NA,NA
"12069_1994","12069",1994,NA,2019,NA
"12070_1994","12070",1994,NA,1025,NA
"12071_1994","12071",1994,NA,1825,NA
"12072_1994","12072",1994,NA,866,NA
"12073_1994","12073",1994,673,2709,1
"12074_1994","12074",1994,NA,3084,NA
"12075_1994","12075",1994,2711,7055,1
"12076_1994","12076",1994,NA,NA,NA
"12077_1994","12077",1994,0,0,0
"12078_1994","12078",1994,0,0,0
"12079_1994","12079",1994,0,0,0
"12080_1994","12080",1994,0,0,0
"12081_1994","12081",1994,0,0,0
"13001_1994","13001",1994,1358,NA,1
"13002_1994","13002",1994,814,NA,1
"13003_1994","13003",1994,8717,NA,1
"13004_1994","13004",1994,548,884,1
"13005_1994","13005",1994,NA,NA,NA
"13006_1994","13006",1994,1153,NA,1
"13007_1994","13007",1994,1040,NA,1
"13008_1994","13008",1994,856,NA,1
"13009_1994","13009",1994,1330,NA,1
"13010_1994","13010",1994,3228,NA,1
"13011_1994","13011",1994,NA,2711,NA
"13012_1994","13012",1994,609,NA,1
"13013_1994","13013",1994,NA,NA,NA
"13014_1994","13014",1994,713,2860,1
"13015_1994","13015",1994,713,NA,1
"13016_1994","13016",1994,NA,NA,NA
"13017_1994","13017",1994,753,NA,1
"13018_1994","13018",1994,1021,NA,1
"13019_1994","13019",1994,1078,NA,1
"13020_1994","13020",1994,850,563,1
"13021_1994","13021",1994,3346,NA,1
"13022_1994","13022",1994,1074,NA,1
"13023_1994","13023",1994,4548,NA,1
"13024_1994","13024",1994,829,NA,1
"13025_1994","13025",1994,360,3711,1
"13026_1994","13026",1994,405,867,1
"13027_1994","13027",1994,NA,2018,NA
"13028_1994","13028",1994,3276,13689,1
"13029_1994","13029",1994,4704,17971,1
"13030_1994","13030",1994,4276,26461,1
"13031_1994","13031",1994,1007,7976,1
"13032_1994","13032",1994,NA,1834,NA
"13033_1994","13033",1994,NA,890,NA
"13034_1994","13034",1994,NA,1418,NA
"13035_1994","13035",1994,534,1062,1
"13036_1994","13036",1994,799,NA,1
"13037_1994","13037",1994,1100,3743,1
"13038_1994","13038",1994,712,NA,1
"13039_1994","13039",1994,19,NA,1
"13040_1994","13040",1994,NA,NA,NA
"13041_1994","13041",1994,26014,NA,1
"13042_1994","13042",1994,128,1776,1
"13043_1994","13043",1994,37,NA,1
"13044_1994","13044",1994,660,NA,1
"13045_1994","13045",1994,NA,NA,NA
"13046_1994","13046",1994,859,5315,1
"13047_1994","13047",1994,NA,NA,NA
"13048_1994","13048",1994,56580,NA,1
"13049_1994","13049",1994,478,NA,1
"13050_1994","13050",1994,4126,NA,1
"13051_1994","13051",1994,NA,NA,NA
"13052_1994","13052",1994,2590,NA,1
"13053_1994","13053",1994,438,947,1
"13054_1994","13054",1994,3340,NA,1
"13055_1994","13055",1994,2787,NA,1
"13056_1994","13056",1994,400,NA,1
"13057_1994","13057",1994,926,NA,1
"13058_1994","13058",1994,NA,NA,NA
"13059_1994","13059",1994,2485,NA,1
"13060_1994","13060",1994,NA,1118,NA
"13061_1994","13061",1994,583,NA,1
"13062_1994","13062",1994,705,1150,1
"13063_1994","13063",1994,1936,NA,1
"13064_1994","13064",1994,NA,NA,NA
"13065_1994","13065",1994,179,NA,1
"13066_1994","13066",1994,1573,NA,1
"13067_1994","13067",1994,5010,NA,1
"13068_1994","13068",1994,549,1346,1
"13069_1994","13069",1994,NA,NA,NA
"13070_1994","13070",1994,941,NA,1
"13071_1994","13071",1994,185,509,1
"13072_1994","13072",1994,1418,NA,1
"13073_1994","13073",1994,1077,3055,1
"13074_1994","13074",1994,3300,NA,1
"13075_1994","13075",1994,NA,NA,NA
"13076_1994","13076",1994,6767,NA,1
"13077_1994","13077",1994,17949,NA,1
"13078_1994","13078",1994,126,1718,1
"13079_1994","13079",1994,NA,1396,NA
"13080_1994","13080",1994,31,2584,1
"13081_1994","13081",1994,NA,4998,NA
"13082_1994","13082",1994,NA,NA,NA
"13083_1994","13083",1994,NA,NA,NA
"13084_1994","13084",1994,NA,9001,NA
"14001_1994","14001",1994,NA,NA,NA
"14002_1994","14002",1994,NA,NA,NA
"14003_1994","14003",1994,NA,NA,NA
"14004_1994","14004",1994,NA,NA,NA
"14005_1994","14005",1994,2130,NA,NA
"14006_1994","14006",1994,7999,NA,NA
"14007_1994","14007",1994,NA,NA,NA
"14008_1994","14008",1994,9551,NA,NA
"14009_1994","14009",1994,NA,NA,NA
"14010_1994","14010",1994,NA,NA,NA
"14011_1994","14011",1994,NA,NA,NA
"14012_1994","14012",1994,NA,NA,NA
"14013_1994","14013",1994,7433,NA,NA
"14014_1994","14014",1994,NA,NA,NA
"14015_1994","14015",1994,9139,NA,NA
"14016_1994","14016",1994,2166,NA,NA
"14017_1994","14017",1994,NA,NA,NA
"14018_1994","14018",1994,6306,NA,NA
"14019_1994","14019",1994,NA,NA,NA
"14020_1994","14020",1994,NA,NA,NA
"14021_1994","14021",1994,2977,NA,NA
"14022_1994","14022",1994,3316,NA,NA
"14023_1994","14023",1994,25494,NA,NA
"14024_1994","14024",1994,3535,NA,NA
"14025_1994","14025",1994,NA,NA,NA
"14026_1994","14026",1994,NA,NA,NA
"14027_1994","14027",1994,NA,NA,NA
"14028_1994","14028",1994,NA,NA,NA
"14029_1994","14029",1994,NA,NA,NA
"14030_1994","14030",1994,7961,NA,NA
"14031_1994","14031",1994,NA,NA,NA
"14032_1994","14032",1994,NA,NA,NA
"14033_1994","14033",1994,2200,NA,NA
"14034_1994","14034",1994,NA,NA,NA
"14035_1994","14035",1994,5464,NA,NA
"14036_1994","14036",1994,NA,NA,NA
"14037_1994","14037",1994,4962,NA,NA
"14038_1994","14038",1994,NA,NA,NA
"14039_1994","14039",1994,403992,NA,NA
"14040_1994","14040",1994,NA,NA,NA
"14041_1994","14041",1994,NA,NA,NA
"14042_1994","14042",1994,NA,NA,NA
"14043_1994","14043",1994,4257,NA,NA
"14044_1994","14044",1994,NA,NA,NA
"14045_1994","14045",1994,NA,NA,NA
"14046_1994","14046",1994,5130,NA,NA
"14047_1994","14047",1994,NA,NA,NA
"14048_1994","14048",1994,1937,NA,NA
"14049_1994","14049",1994,NA,NA,NA
"14050_1994","14050",1994,2826,NA,NA
"14051_1994","14051",1994,2496,NA,NA
"14052_1994","14052",1994,NA,NA,NA
"14053_1994","14053",1994,14766,NA,NA
"14054_1994","14054",1994,NA,NA,NA
"14055_1994","14055",1994,2810,NA,NA
"14056_1994","14056",1994,NA,NA,NA
"14057_1994","14057",1994,NA,NA,NA
"14058_1994","14058",1994,NA,NA,NA
"14059_1994","14059",1994,NA,NA,NA
"14060_1994","14060",1994,NA,NA,NA
"14061_1994","14061",1994,NA,NA,NA
"14062_1994","14062",1994,NA,NA,NA
"14063_1994","14063",1994,17894,NA,NA
"14064_1994","14064",1994,1775,NA,NA
"14065_1994","14065",1994,NA,NA,NA
"14066_1994","14066",1994,3777,NA,NA
"14067_1994","14067",1994,29002,NA,NA
"14068_1994","14068",1994,NA,NA,NA
"14069_1994","14069",1994,NA,NA,NA
"14070_1994","14070",1994,3825,NA,NA
"14071_1994","14071",1994,NA,NA,NA
"14072_1994","14072",1994,NA,NA,NA
"14073_1994","14073",1994,9294,NA,NA
"14074_1994","14074",1994,3467,NA,NA
"14075_1994","14075",1994,NA,NA,NA
"14076_1994","14076",1994,NA,NA,NA
"14077_1994","14077",1994,2439,NA,NA
"14078_1994","14078",1994,4928,NA,NA
"14079_1994","14079",1994,NA,NA,NA
"14080_1994","14080",1994,NA,NA,NA
"14081_1994","14081",1994,NA,NA,NA
"14082_1994","14082",1994,5905,NA,NA
"14083_1994","14083",1994,6414,NA,NA
"14084_1994","14084",1994,NA,NA,NA
"14085_1994","14085",1994,4544,NA,NA
"14086_1994","14086",1994,NA,NA,NA
"14087_1994","14087",1994,NA,NA,NA
"14088_1994","14088",1994,NA,NA,NA
"14089_1994","14089",1994,NA,NA,NA
"14090_1994","14090",1994,NA,NA,NA
"14091_1994","14091",1994,5242,NA,NA
"14092_1994","14092",1994,NA,NA,NA
"14093_1994","14093",1994,14350,NA,NA
"14094_1994","14094",1994,5526,NA,NA
"14095_1994","14095",1994,NA,NA,NA
"14096_1994","14096",1994,3417,NA,NA
"14097_1994","14097",1994,2606,NA,NA
"14098_1994","14098",1994,43786,NA,NA
"14099_1994","14099",1994,NA,NA,NA
"14100_1994","14100",1994,1682,NA,NA
"14101_1994","14101",1994,27283,NA,NA
"14102_1994","14102",1994,NA,NA,NA
"14103_1994","14103",1994,NA,NA,NA
"14104_1994","14104",1994,NA,NA,NA
"14105_1994","14105",1994,NA,NA,NA
"14106_1994","14106",1994,NA,NA,NA
"14107_1994","14107",1994,NA,NA,NA
"14108_1994","14108",1994,7253,NA,NA
"14109_1994","14109",1994,NA,NA,NA
"14110_1994","14110",1994,NA,NA,NA
"14111_1994","14111",1994,NA,NA,NA
"14112_1994","14112",1994,NA,NA,NA
"14113_1994","14113",1994,NA,NA,NA
"14114_1994","14114",1994,NA,NA,NA
"14115_1994","14115",1994,NA,NA,NA
"14116_1994","14116",1994,NA,NA,NA
"14117_1994","14117",1994,NA,NA,NA
"14118_1994","14118",1994,2547,NA,NA
"14119_1994","14119",1994,5800,NA,NA
