"Clave","mayor6_leer_esc","may5_asistencia","year","muniYear"
"12012",40179,NA,1995,"12012_1995"
"12013",27295,NA,1995,"12013_1995"
"12014",14511,NA,1995,"12014_1995"
"12015",10082,NA,1995,"12015_1995"
"12016",12295,NA,1995,"12016_1995"
"12017",13943,NA,1995,"12017_1995"
"12018",10632,NA,1995,"12018_1995"
"12019",11365,NA,1995,"12019_1995"
"12020",11262,NA,1995,"12020_1995"
"12021",57019,NA,1995,"12021_1995"
"12022",37486,NA,1995,"12022_1995"
"12023",20751,NA,1995,"12023_1995"
"12024",5012,NA,1995,"12024_1995"
"12025",11402,NA,1995,"12025_1995"
"12026",8148,NA,1995,"12026_1995"
"12027",22539,NA,1995,"12027_1995"
"12028",80407,NA,1995,"12028_1995"
"12029",144291,NA,1995,"12029_1995"
"12030",14328,NA,1995,"12030_1995"
"12031",6737,NA,1995,"12031_1995"
"12032",25676,NA,1995,"12032_1995"
"12033",11091,NA,1995,"12033_1995"
"12034",31866,NA,1995,"12034_1995"
"12035",99720,NA,1995,"12035_1995"
"12036",7144,NA,1995,"12036_1995"
"12037",6084,NA,1995,"12037_1995"
"12038",72881,NA,1995,"12038_1995"
"12039",19037,NA,1995,"12039_1995"
"12040",17944,NA,1995,"12040_1995"
"12041",19877,NA,1995,"12041_1995"
"12042",11886,NA,1995,"12042_1995"
"12043",20691,NA,1995,"12043_1995"
"12044",8407,NA,1995,"12044_1995"
"12045",16008,NA,1995,"12045_1995"
"12046",36252,NA,1995,"12046_1995"
"12047",6093,NA,1995,"12047_1995"
"12048",39195,NA,1995,"12048_1995"
"12049",8857,NA,1995,"12049_1995"
"12050",27502,NA,1995,"12050_1995"
"12051",24334,NA,1995,"12051_1995"
"12052",24686,NA,1995,"12052_1995"
"12053",39179,NA,1995,"12053_1995"
"12054",21280,NA,1995,"12054_1995"
"12055",81158,NA,1995,"12055_1995"
"12056",32479,NA,1995,"12056_1995"
"12057",53006,NA,1995,"12057_1995"
"12058",45133,NA,1995,"12058_1995"
"12059",28038,NA,1995,"12059_1995"
"12060",10353,NA,1995,"12060_1995"
"12061",28675,NA,1995,"12061_1995"
"12062",9179,NA,1995,"12062_1995"
"12063",6080,NA,1995,"12063_1995"
"12064",11818,NA,1995,"12064_1995"
"12065",5331,NA,1995,"12065_1995"
"12066",40682,NA,1995,"12066_1995"
"12067",17253,NA,1995,"12067_1995"
"12068",23168,NA,1995,"12068_1995"
"12069",8319,NA,1995,"12069_1995"
"12070",6051,NA,1995,"12070_1995"
"12071",14962,NA,1995,"12071_1995"
"12072",8710,NA,1995,"12072_1995"
"12073",18411,NA,1995,"12073_1995"
"12074",14132,NA,1995,"12074_1995"
"12075",31273,NA,1995,"12075_1995"
"12076",11871,NA,1995,"12076_1995"
"12077",NA,NA,1995,"12077_1995"
"12078",NA,NA,1995,"12078_1995"
"12079",NA,NA,1995,"12079_1995"
"12080",NA,NA,1995,"12080_1995"
"12081",NA,NA,1995,"12081_1995"
"13001",16260,NA,1995,"13001_1995"
"13002",27449,NA,1995,"13002_1995"
"13003",38026,NA,1995,"13003_1995"
"13004",7522,NA,1995,"13004_1995"
"13005",12086,NA,1995,"13005_1995"
"13006",14378,NA,1995,"13006_1995"
"13007",8789,NA,1995,"13007_1995"
"13008",32188,NA,1995,"13008_1995"
"13009",11926,NA,1995,"13009_1995"
"13010",17146,NA,1995,"13010_1995"
"13011",14362,NA,1995,"13011_1995"
"13012",22386,NA,1995,"13012_1995"
"13013",19345,NA,1995,"13013_1995"
"13014",13695,NA,1995,"13014_1995"
"13015",15816,NA,1995,"13015_1995"
